timestamp_unix,mode,tag,model_path,threads,p,n,repeat,pp_tps,pp_mean,pp_std,tg_tps,tg_mean,tg_std,json_path
1772108946,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,64,1,23.04 ± 4.16,23.04,4.16,3.93 ± 1.07,3.93,1.07,results/sweep_cold/bench_p64_n64_r1.json
1772109065,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,64,2,12.05 ± 1.49,12.05,1.49,5.41 ± 2.71,5.41,2.71,results/sweep_cold/bench_p64_n64_r2.json
1772109178,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,64,3,18.26 ± 3.16,18.26,3.16,5.36 ± 3.37,5.36,3.37,results/sweep_cold/bench_p64_n64_r3.json
1772109417,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,128,1,23.61 ± 3.77,23.61,3.77,3.94 ± 2.20,3.94,2.2,results/sweep_cold/bench_p64_n128_r1.json
1772109680,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,128,2,16.80 ± 1.22,16.8,1.22,2.95 ± 0.88,2.95,0.88,results/sweep_cold/bench_p64_n128_r2.json
1772109802,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,128,3,17.46 ± 4.41,17.46,4.41,7.19 ± 2.14,7.19,2.14,results/sweep_cold/bench_p64_n128_r3.json
1772110052,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,256,1,26.04 ± 1.10,26.04,1.1,5.92 ± 1.74,5.92,1.74,results/sweep_cold/bench_p64_n256_r1.json
1772110336,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,256,2,32.16 ± 14.14,32.16,14.14,5.23 ± 1.90,5.23,1.9,results/sweep_cold/bench_p64_n256_r2.json
1772110665,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,64,256,3,25.75 ± 3.39,25.75,3.39,4.70 ± 1.90,4.7,1.9,results/sweep_cold/bench_p64_n256_r3.json
1772110715,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,64,1,40.21 ± 8.81,40.21,8.81,12.62 ± 0.36,12.62,0.36,results/sweep_cold/bench_p128_n64_r1.json
1772110764,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,64,2,38.72 ± 4.74,38.72,4.74,12.98 ± 1.28,12.98,1.28,results/sweep_cold/bench_p128_n64_r2.json
1772110819,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,64,3,37.00 ± 2.77,37.0,2.77,11.10 ± 3.17,11.1,3.17,results/sweep_cold/bench_p128_n64_r3.json
1772110928,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,128,1,30.00 ± 8.56,30.0,8.56,8.38 ± 1.25,8.38,1.25,results/sweep_cold/bench_p128_n128_r1.json
1772111012,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,128,2,34.72 ± 1.13,34.72,1.13,11.39 ± 1.01,11.39,1.01,results/sweep_cold/bench_p128_n128_r2.json
1772111092,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,128,3,41.86 ± 5.17,41.86,5.17,11.61 ± 0.61,11.61,0.61,results/sweep_cold/bench_p128_n128_r3.json
1772111225,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,256,1,39.37 ± 0.82,39.37,0.82,11.74 ± 0.37,11.74,0.37,results/sweep_cold/bench_p128_n256_r1.json
1772111358,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,256,2,37.99 ± 2.33,37.99,2.33,11.94 ± 0.61,11.94,0.61,results/sweep_cold/bench_p128_n256_r2.json
1772111491,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,128,256,3,41.36 ± 6.69,41.36,6.69,11.79 ± 0.65,11.79,0.65,results/sweep_cold/bench_p128_n256_r3.json
1772111559,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,64,1,40.93 ± 1.96,40.93,1.96,12.31 ± 0.97,12.31,0.97,results/sweep_cold/bench_p256_n64_r1.json
1772111630,cold,,/home/manishkl/models/qwen2.5-3b-instruct-q4_k_m.gguf,8,256,64,2,39.37 ± 2.80,39.37,2.8,12.14 ± 1.08,12.14,1.08,results/sweep_cold/bench_p256_n64_r2.json
